sector_id,area_m2,LST,NDVI,vegetation_cover_pct,vulnerability_index,vulnerability_class,population_density_per_km2,population_density_class,dist_hospital_km,outdoor_exposure,HHSI_season_mean,HHSI_season_max,danger_days
SEC-G04,900.0,37.0,0.31,15.8,0.268,Low,1179.7,Low,1.63,Medium,34.65986301369863,46.09,1
SEC-G05,900.0,37.0,0.31,15.8,0.273,Low,1118.6,Low,1.6,Medium,34.70739726027397,46.15,1
SEC-G06,900.0,37.0,0.36,21.3,0.28,Low,1118.6,Low,1.57,Medium,34.77479452054794,46.24,1
SEC-G07,900.0,37.2,0.31,15.8,0.287,Low,1118.6,Low,1.54,Medium,34.84260273972603,46.33,1
SEC-G08,900.0,37.5,0.17,4.8,0.289,Low,779.9,Low,1.51,High,34.86191780821918,46.36,1
SEC-G09,900.0,37.5,0.2,6.6,0.296,Low,779.9,Low,1.48,High,34.92917808219178,46.45,1
SEC-G10,900.0,37.5,0.26,11.1,0.304,Low,779.9,Low,1.45,High,35.00630136986302,46.55,1
SEC-G11,900.0,37.4,0.31,15.8,0.313,Low,861.6,Low,1.42,High,35.092465753424655,46.67,1
SEC-G12,900.0,37.4,0.3,14.8,0.326,Low,1195.0,Low,1.39,High,35.21808219178082,46.83,1
SEC-G13,900.0,37.5,0.29,13.8,0.333,Moderate,1195.0,Low,1.36,High,35.28520547945206,46.92,1
SEC-G14,900.0,37.6,0.28,12.9,0.34,Moderate,1195.0,Low,1.33,High,35.352602739726024,47.01,1
SEC-G15,900.0,37.7,0.31,15.8,0.346,Moderate,1229.6,Low,1.3,High,35.41013698630137,47.09,2
SEC-G16,900.0,37.8,0.33,17.9,0.343,Moderate,742.3,Low,1.27,High,35.381232876712325,47.05,2
SEC-G17,900.0,37.8,0.33,17.9,0.345,Moderate,742.3,Low,1.24,High,35.40095890410959,47.08,2
SEC-G18,900.0,37.9,0.27,12.0,0.346,Moderate,742.3,Low,1.21,High,35.41013698630137,47.09,2
SEC-G19,900.0,37.8,0.29,13.8,0.344,Moderate,746.8,Low,1.18,High,35.39095890410959,47.06,2
SEC-G20,900.0,38.1,0.33,17.9,0.341,Moderate,746.8,Low,1.16,High,35.36232876712329,47.02,2
SEC-G21,900.0,37.9,0.27,12.0,0.335,Moderate,746.8,Low,1.13,High,35.30410958904109,46.95,1
SEC-G22,900.0,37.8,0.27,12.0,0.322,Low,344.6,Low,1.1,High,35.17917808219178,46.78,1
SEC-G23,900.0,37.8,0.32,16.8,0.533,Moderate,14909.9,High,1.07,High,37.21,49.48,19
SEC-G24,900.0,37.9,0.38,23.7,0.524,Moderate,14909.9,High,1.04,High,37.12301369863014,49.37,18
SEC-G25,900.0,37.9,0.43,30.4,0.513,Moderate,14909.9,High,1.01,Medium,37.017534246575345,49.23,18
SEC-G26,900.0,37.8,0.32,16.8,0.355,Moderate,5116.1,Medium,0.98,High,35.496986301369866,47.2,3
SEC-G27,900.0,37.6,0.29,13.8,0.292,Low,1665.8,Low,0.95,High,34.89041095890411,46.4,1
SEC-G28,900.0,37.5,0.3,14.8,0.281,Low,1665.8,Low,0.92,High,34.784383561643835,46.26,1
SEC-G29,900.0,37.3,0.32,16.8,0.297,Low,3417.9,Low,0.89,Medium,34.93890410958904,46.46,1
SEC-G30,900.0,37.1,0.43,30.4,0.257,Low,1530.9,Low,0.86,Medium,34.55301369863014,45.95,0
SEC-G31,900.0,37.1,0.43,30.4,0.247,Low,1530.9,Low,0.83,Medium,34.457808219178084,45.82,0
SEC-G32,900.0,37.1,0.45,33.3,0.24,Low,1530.9,Low,0.8,Low,34.39,45.73,0
SEC-G33,900.0,37.0,0.36,21.3,0.237,Low,1057.3,Low,0.77,Medium,34.36150684931507,45.69,0
SEC-G34,900.0,36.9,0.43,30.4,0.235,Low,499.7,Low,0.74,Low,34.342465753424655,45.67,0
SEC-G35,900.0,36.8,0.52,44.4,0.241,Low,499.7,Low,0.71,Low,34.40013698630137,45.74,0
SEC-G36,900.0,36.6,0.58,55.3,0.313,Low,4765.8,Medium,0.68,Low,35.092465753424655,46.67,1
SEC-G37,900.0,36.4,0.53,46.2,0.322,Low,4765.8,Medium,0.65,Low,35.17917808219178,46.78,1
SEC-G38,900.0,36.0,0.54,47.9,0.264,Low,254.8,Low,0.62,Low,34.62109589041096,46.04,1
SEC-G39,900.0,35.3,0.63,65.2,0.276,Low,254.8,Low,0.59,Low,34.736712328767126,46.19,1
SEC-G40,900.0,35.1,0.7,80.5,0.295,Low,621.9,Low,0.56,Low,34.91986301369863,46.44,1
SEC-G41,900.0,35.0,0.76,94.9,0.399,Moderate,6461.7,Medium,0.54,Low,35.92082191780822,47.77,9
SEC-G42,900.0,35.4,0.76,94.9,0.414,Moderate,6461.7,Medium,0.51,Low,36.06452054794521,47.96,11
SEC-G43,900.0,35.5,0.7,80.5,0.339,Moderate,404.1,Low,0.48,Low,35.34315068493151,47.0,1
SEC-G44,900.0,35.8,0.47,36.3,0.358,Moderate,404.1,Low,0.45,Low,35.526438356164384,47.24,4
SEC-G45,900.0,36.3,0.3,14.8,0.506,Moderate,8886.6,Medium,0.42,Low,36.949315068493156,49.14,17
SEC-G46,900.0,36.8,0.28,12.9,0.524,Moderate,8886.6,Medium,0.39,Medium,37.12301369863014,49.37,18
SEC-G47,900.0,37.0,0.29,13.8,0.611,Moderate,13872.4,High,0.36,Medium,37.96068493150685,50.48,25
SEC-G48,900.0,37.2,0.33,17.9,0.761,High,23914.6,High,0.34,Medium,39.40424657534247,52.4,37
SEC-G49,900.0,37.4,0.34,19.0,0.748,High,23914.6,High,0.31,Medium,39.27931506849315,52.23,35
SEC-G50,900.0,37.6,0.41,27.6,0.454,Moderate,5635.4,Medium,0.28,Medium,36.44972602739726,48.47,16
