longitude,latitude,NDVI,NDBI,BSI,NDWI,LST,vegetation_fraction
85.80056315328683,20.25031720802852,0.06456841,0.09768535,0.12619768,-0.15432872,37.758189380000005,0.0
85.80065298481524,20.25031720802852,0.08393424,0.19649346,0.1910387,-0.17181168,37.758189380000005,0.0
85.80074281634366,20.25031720802852,0.11642916,0.1179095,0.13413826,-0.17023674,37.758189380000005,0.0
85.80083264787207,20.25031720802852,0.09908974,0.10919055,0.12782732,-0.15812549,37.758189380000005,0.0
85.80092247940048,20.25031720802852,0.13116725,0.18720278,0.17120896,-0.18462506,37.86756602,0.0
85.8010123109289,20.25031720802852,0.088309534,0.17175163,0.17054884,-0.18824613,37.86756602,0.0
85.80110214245731,20.25031720802852,0.120460056,0.16527618,0.16743782,-0.2201714,37.86756602,0.0
85.79993433258795,20.250227376500106,0.42569107,-0.008279672,0.030169485,-0.43455496,37.41126035000002,0.9725490196078431
85.80002416411637,20.250227376500106,0.18523808,-0.014469128,0.054123055,-0.23187327,37.41126035000002,0.0
85.80011399564478,20.250227376500106,0.15341328,0.012774867,0.06962351,-0.20871793,37.55823521000002,0.0
85.80020382717318,20.250227376500106,0.28724948,0.041522488,0.07895518,-0.30506477,37.55823521000002,0.0
85.80029365870159,20.250227376500106,0.10323088,0.06832299,0.09368771,-0.14566284,37.55823521000002,0.0
85.80038349023,20.250227376500106,0.048429787,0.05571648,0.10123604,-0.11128935,37.758189380000005,0.0
85.80047332175842,20.250227376500106,0.083808,0.07532105,0.10229729,-0.15125325,37.758189380000005,0.0
85.80056315328683,20.250227376500106,0.12101595,0.10833829,0.13804713,-0.1906903,37.758189380000005,0.0
85.80065298481524,20.250227376500106,0.12828599,0.13187702,0.14491266,-0.18859039,37.758189380000005,0.0
85.80074281634366,20.250227376500106,0.10715278,0.13896103,0.15363662,-0.16656889,37.758189380000005,0.0
85.80083264787207,20.250227376500106,0.09464144,0.123398796,0.16199167,-0.1778543,37.758189380000005,0.0
85.80092247940048,20.250227376500106,0.092760816,0.16085392,0.1709527,-0.17455621,37.86756602,0.0
85.8010123109289,20.250227376500106,0.06670073,0.13635422,0.181548,-0.19461936,37.86756602,0.0
85.80110214245731,20.250227376500106,0.13923307,0.14462899,0.17103547,-0.22954474,37.86756602,0.0
85.79984450105954,20.250137544971697,0.45800528,-0.02894189,0.01545943,-0.4386533,37.41126035000002,0.0
85.79993433258795,20.250137544971697,0.3766012,-0.07109633,0.020949952,-0.43161634,37.41126035000002,1.0
85.80002416411637,20.250137544971697,0.2638522,-0.054137323,0.040669516,-0.31810677,37.41126035000002,1.0
85.80011399564478,20.250137544971697,0.3811966,-0.060135584,0.008888183,-0.4048102,37.55823521000002,0.0
