longitude,latitude,NDVI,NDBI,BSI,NDWI,LST,vegetation_fraction,heat_stress,vegetation_deficit,bare_soil_score,built_up_score,low_moisture_score,priority_score,priority_class,intervention_type,recommendation,sprayer_rank
85.80092247940048,20.248161251346637,0.17519791,0.16309659,0.15755467,-0.24971943,36.74645545999999,0.0,0.25383993532738097,1.0,0.6467804835360955,0.6184499970791583,0.34342416075810334,61.93564689123547,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,21
85.80209028926984,20.24618495772157,0.29634005,0.11344365,0.09737461,-0.30831102,36.83190596000003,0.0,0.2942603071948194,1.0,0.5363746222345589,0.5427566874166355,0.4326797008666289,61.627792432195605,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,22
85.80155130009936,20.248161251346637,0.1951029,0.114798374,0.12968151,-0.2569863,36.81139784000004,0.0,0.28455941794664386,1.0,0.5956446050242507,0.5448218932884178,0.35449415231744563,61.4646120698217,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,23
85.80200045774143,20.24609512619316,0.2507536,0.05094614,0.089993,-0.3209841,36.83190596000003,0.0,0.2942603071948194,1.0,0.5228323790091112,0.44748250269430884,0.4519852462569921,60.664972390494256,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,24
85.80056315328683,20.24807141981822,0.3171787,0.07994562,0.09131358,-0.35529828,36.753291500000046,0.0,0.2570735650767997,1.0,0.5252551046148614,0.49169069297855245,0.5042577766539511,60.550518217851945,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,25
85.80065298481524,20.248700240517103,0.38179597,0.00022099822,0.028418906,-0.36306116,36.95153665999999,0.0,0.35084882780919013,1.0,0.40986903397536106,0.3701546775055303,0.5160833653979615,60.53588077294103,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,26
85.80074281634366,20.248700240517103,0.3841497,-0.021319825,0.017149424,-0.39335182,36.95153665999999,0.0,0.35084882780919013,1.0,0.38919413158024607,0.33731681931672786,0.5622266637543247,60.35881163868992,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,27
85.80092247940048,20.248340914403457,0.27056128,0.00662724,0.05576206,-0.31390664,36.88659428000005,0.0,0.3201293451899777,1.0,0.46003256767856043,0.3799206579857704,0.44120379255524955,59.71561337628793,Moderate,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,28
85.80047332175842,20.24843074593187,0.11862115,0.18332101,0.14986801,-0.16181116,36.65075090000005,0.0,0.20856911883589513,1.0,0.632678597997396,0.6492810674207113,0.2095090354157788,59.3351535634027,Moderate,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,29
85.80074281634366,20.247801925232984,0.13793868,0.01565481,0.08579496,-0.20579985,36.900266360000046,0.0,0.3265966046887647,1.0,0.5151306880839391,0.39368271621455003,0.27651923747065554,59.226877998774086,Moderate,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,30
85.80092247940048,20.248251082875043,0.17913428,0.028174154,0.065766886,-0.20837125,36.88659428000005,0.0,0.3201293451899777,1.0,0.4783873421952693,0.41276780125007145,0.2804363814811708,58.71173231594078,Moderate,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,31
85.80056315328683,20.247981588289807,0.40912312,-0.0148084825,0.03419019,-0.43110895,36.753291500000046,0.0,0.2570735650767997,1.0,0.42045698587896135,0.3472430203467423,0.6197440144713442,58.68893208866927,Moderate,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,32
85.80200045774143,20.24591546313633,0.11143187,0.1675676,0.1698634,-0.13770686,36.58922654000003,0.0,0.1794664510913416,1.0,0.6693619820786039,0.6252658179436273,0.1727897329452719,58.404978772808306,Moderate,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,33
